date,peggedUSD,peggedEUR,peggedVAR,peggedJPY,peggedCNY,peggedUAH,peggedARS,peggedGBP,peggedCAD,peggedCHF,peggedAUD,peggedREAL
2021-06-17,108218370681,246298666,15110614,,,,,,,,,
2021-06-18,108433308482,247021060,14954329,,,,,,,,,
2021-06-19,108811149304,249374743,14609119,,,,,,,,,
2021-06-20,109107266194,249376006,14482034,,,,,,,,,
2021-06-21,109313723771,246145736,13752220,,,,,,,,,
2021-06-22,109089736544,238551691,11315407,,,,,,,,,
2021-06-23,109763605235,232578595,11099069,,,,,,,,,
2021-06-24,110291581214,232586931,11196184,,,,,,,,,
2021-06-25,110409198867,238506496,11507649,,,,,,,,,
2021-06-26,110470993376,238366128,10806384,,,,,,,,,
2021-06-27,111407044403,238483003,10801061,,,,,,,,,
2021-06-28,111181848312,237400534,10713995,,,,,,,,,
2021-06-29,110267343203,235557401,11021902,,,,,,,,,
2021-06-30,109991115737,239760646,11539324,,,,,,,,,
2021-07-01,110320142161,242800136,11925727,,,,,,,,,
2021-07-02,110688839740,246645693,11848479,,,,,,,,,
2021-07-03,111343174175,246856841,11929052,,,,,,,,,
2021-07-04,111415703624,246471275,12099696,,,,,,,,,
2021-07-05,110978526970,246508997,12216990,,,,,,,,,
2021-07-06,111586626759,246788883,11977303,,,,,,,,,
2021-07-07,111824029640,243587083,12100341,,,,,,,,,
2021-07-08,111749908781,244229782,12297162,,,,,,,,,
2021-07-09,112238349572,242447825,12013274,,,,,,,,,
2021-07-10,112078107051,242519546,12107597,,,,,,,,,
2021-07-11,112204446619,242575684,12245861,,,,,,,,,
2021-07-12,112048208311,242660512,12226558,,,,,,,,,
2021-07-13,112177158770,242080717,12330174,,,,,,,,,
2021-07-14,112072618357,242063615,12050690,,,,,,,,,
2021-07-15,112437053896,240054072,12117894,,,,,,,,,
2021-07-16,112611009064,237827748,14110306,,,,,,,,,
2021-07-17,111840040775,236681415,13860945,,,,,,,,,
2021-07-18,112380622512,237661744,13893995,,,,,,,,,
2021-07-19,112880102471,237200298,13869753,,,,,,,,,
2021-07-20,112421261774,234542374,12103800,,,,,,,,,
2021-07-21,112378075784,232557885,12037557,,,,,,,,,
2021-07-22,112776714952,229062064,12501143,,,,,,,,,
2021-07-23,112812369391,229018582,12584564,,,,,,,,,
2021-07-24,113052628673,228417525,12865560,,,,,,,,,
2021-07-25,113254483304,228476211,13025288,,,,,,,,,
2021-07-26,113522636739,225046377,13252801,,,,,,,,,
2021-07-27,113443049978,223643871,13531236,,,,,,,,,
2021-07-28,113971311867,223230481,13021160,,,,,,,,,
2021-07-29,113739193029,222670758,12975344,,,,,,,,,
2021-07-30,113996730619,222012142,13272881,,,,,,,,,
2021-07-31,114399455655,222105849,13579443,,,,,,,,,
2021-08-01,113988223064,222221461,13650413,,,,,,,,,
2021-08-02,114132072832,219963552,14464124,,,,,,,,,
2021-08-03,114309380576,219104867,14411421,,,,,,,,,
2021-08-04,114554786023,217402081,14769229,,,,,,,,,
2021-08-05,114104140054,218799704,16972894,,,,,,,,,
2021-08-06,114442100369,216804700,17795233,,,,,,,,,
2021-08-07,114737235751,216229977,18357832,,,,,,,,,
2021-08-08,114986892626,216801064,20310208,,,,,,,,,
2021-08-09,115130363917,217167877,20208229,,,,,,,,,
2021-08-10,115478251553,219066805,20913290,,,,,,,,,
2021-08-11,115731385816,218544872,21622812,,,,,,,,,
2021-08-12,115928791479,218134080,21581598,,,,,,,,,
2021-08-13,116291028812,215931683,21693623,,,,,,,,,
2021-08-14,116087897824,215489855,21801383,,,,,,,,,
2021-08-15,116525063845,215496708,22134808,,,,,,,,,
2021-08-16,116659083463,214268638,22267697,,,,,,,,,
2021-08-17,116697982617,214572311,22347606,,,,,,,,,
2021-08-18,117130587205,214118965,22930612,,,,,,,,,
2021-08-19,117389773322,216224127,23684146,,,,,,,,,
2021-08-20,117761426786,206956316,23777946,,,,,,,,,
2021-08-21,117487302073,206961178,24138760,,,,,,,,,
2021-08-22,117832042686,207211209,24083962,,,,,,,,,
2021-08-23,118309277258,207027698,22778819,,,,,,,,,
2021-08-24,118106114033,206316849,22773472,,,,,,,,,
2021-08-25,118316619762,205452020,23484939,,,,,,,,,
2021-08-26,118774524850,199107970,23499068,,,,,,,,,
2021-08-27,118676200830,198700750,23640517,,,,,,,,,
2021-08-28,119200605906,197189140,23538168,,,,,,,,,
2021-08-29,119181654676,197253847,23532074,,,,,,,,,
2021-08-30,119135458009,191453083,23514046,,,,,,,,,
2021-08-31,119359252131,189304376,23473806,,,,,,,,,
2021-09-01,119779433046,189496175,23684039,,,,,,,,,
2021-09-02,120107490471,187911224,24196047,,,,,,,,,
2021-09-03,120366480183,187163335,25367320,,,,,,,,,
2021-09-04,121193699175,187930746,25358825,,,,,,,,,
2021-09-05,121587845123,188239219,24921821,,,,,,,,,
2021-09-06,121852155031,189051108,24459041,,,,,,,,,
2021-09-07,122780528495,189124061,24580933,,,,,,,,,
2021-09-08,123222871218,186483919,23646963,,,,,,,,,
2021-09-09,125247155576,186857087,23645791,,,,,,,,,
2021-09-10,125824960124,188569230,23627264,,,,,,,,,
2021-09-11,125256350953,183863582,22886848,,,,,,,,,
2021-09-12,125629550930,184995880,21934028,,,,,,,,,
2021-09-13,126544219726,185662759,21858497,,,,,,,,,
2021-09-14,126086545051,185850371,21847931,,,,,,,,,
2021-09-15,126346718184,183815356,21689146,,,,,,,,,
2021-09-16,126260700757,184009649,21686445,,,,,,,,,
2021-09-17,126489186490,184326432,21647357,,,,,,,,,
2021-09-18,126943432643,185277817,21649689,,,,,,,,,
2021-09-19,126797775725,185453464,21716210,,,,,,,,,
2021-09-20,127119173586,185376682,21547353,,,,,,,,,
2021-09-21,126294413260,195978651,21191887,,,,,,,,,
2021-09-22,126273478758,194002122,20003996,,,,,,,,,
2021-09-23,127414773905,194338658,20230160,,,,,,,,,
2021-09-24,128035749415,195003153,20903825,,,,,,,,,
2021-09-25,129206714453,196019821,20750877,,,,,,,,,
2021-09-26,129395543894,196535380,20658113,,,,,,,,,
2021-09-27,129726537715,196744960,20658379,,,,,,,,,
2021-09-28,128780365244,197430344,20610789,,,,,,,,,
2021-09-29,128995107658,196278886,20556408,,,,,,,,,
2021-09-30,129514150274,196843385,20561982,,,,,,,,,
2021-10-01,129230837063,197481361,20946510,,,,,,,,,
2021-10-02,129119525555,197776048,21983539,,,,,,,,,
2021-10-03,129209023192,197873063,22184389,,,,,,,,,
2021-10-04,129639709412,199681799,22153666,,,,,,,,,
2021-10-05,129717552680,199584080,22251557,,,,,,,,,
2021-10-06,129817148911,199622513,22534421,,,,,,,,,
2021-10-07,130011188145,200128427,22504452,,,,,,,,,
2021-10-08,130370547945,199220724,22048092,,,,,,,,,
2021-10-09,130957009635,199211702,22905665,,,,,,,,,
2021-10-10,131142324565,199423425,22826238,,,,,,,,,
2021-10-11,131386842864,199672555,23215920,,,,,,,,,
2021-10-12,132119386877,200027547,23283459,,,,,,,,,
2021-10-13,131826062003,202033318,25132791,,,,,,,,,
2021-10-14,131845944646,203590392,25401537,,,,,,,,,
2021-10-15,132093375184,209496822,25890854,,,,,,,,,
2021-10-16,132157232731,210941080,26246229,,,,,,,,,
2021-10-17,132592567568,211613121,26194269,,,,,,,,,
2021-10-18,132358677516,214412235,26550639,,,,,,,,,
2021-10-19,132662781844,215689453,26796797,,,,,,,,,
2021-10-20,132073670035,218299362,27646405,,,,,,,,,
2021-10-21,132889418652,293159797,27957236,,,,,,,,,
2021-10-22,133064108259,292825595,28122006,,,,,,,,,
2021-10-23,133486136843,292311472,28380237,,,,,,,,,
2021-10-24,133874737275,293220595,28453169,,,,,,,,,
2021-10-25,133608085016,295983937,28457358,,,,,,,,,
2021-10-26,133780891949,297142595,28411725,,,,,,,,,
2021-10-27,133897205950,297374687,28669228,,,,,,,,,
2021-10-28,134315883587,298268574,28743568,,,,,,,,,
2021-10-29,134958236147,298675012,28986668,,,,,,,,,
2021-10-30,135707710890,299905797,29074819,,,,,,,,,
2021-10-31,136425753000,299810405,29074819,,,,,,,,,
2021-11-01,136260338025,299306865,29150002,,,,,,,,,
2021-11-02,136644312238,298555427,29244675,,,,,,,,,
2021-11-03,137541468800,298614017,29477801,,,,,,,,,
2021-11-04,138515568012,332625432,29915417,,,,,,,,,
2021-11-05,138780475280,358165162,30398117,,,,,,,,,
2021-11-06,140087192188,371306110,31863617,,,,,,,,,
2021-11-07,139938059686,373413736,31954072,,,,,,,,,
2021-11-08,141090121241,371118132,32080026,,,,,,,,,
2021-11-09,142412493448,370721009,32175620,,,,,,,,,
2021-11-10,142995891354,374996395,35096720,,,,,,,,,
2021-11-11,142955599535,393094044,35284320,,,,,,,,,
2021-11-12,143115775927,401631267,35364020,,,,,,,,,
2021-11-13,143650538616,407631266,35433440,,,,,,,,,
2021-11-14,144351506120,410385173,35475112,,,,,,,,,
2021-11-15,145036664843,429136968,35358558,,,,,,,,,
2021-11-16,145129746776,425796816,35825186,,,,,,,,,
2021-11-17,145596718826,436656497,35252566,,,,,,,,,
2021-11-18,146717263826,441979079,35209226,,,,,,,,,
2021-11-19,146660503904,441823835,30963556,,,,,,,,,
2021-11-20,146841835516,475455459,31166166,,,,,,,,,
2021-11-21,147614523349,476127926,31168187,,,,,,,,,
2021-11-22,149242944766,474947295,31189216,,,,,,,,,
2021-11-23,148839868312,477385542,31277658,,,,,,,,,
2021-11-24,148603711857,476415421,31230436,,,,,,,,,
2021-11-25,149346844630,486807249,31030072,,,,,,,,,
2021-11-26,149439070466,484516261,31163272,,,,,,,,,
2021-11-27,150273118729,482460531,31141847,,,,,,,,,
2021-11-28,150919480571,482231819,29307582,,,,,,,,,
2021-11-29,151443043901,481729451,29091792,,,,,,,,,
2021-11-30,152129918827,481931237,29146187,,,,,,,,,
2021-12-01,152926826282,476730328,29220536,,,,,,,,,
2021-12-02,154287523244,477002236,29384702,,,,,,,,,
2021-12-03,154415554672,472715064,29667385,,,,,,,,,
2021-12-04,154865836417,479851232,28914079,,,,,,,,,
2021-12-05,155583220661,485920581,28600391,,,,,,,,,
2021-12-06,158303192849,483411617,28756657,,,,,,,,,
2021-12-07,157861672951,485044954,29573590,,,,,,,,,
2021-12-08,159442434072,478615913,29819360,,,,,,,,,
2021-12-09,159691892898,471530552,30349760,,,,,,,,,
2021-12-10,160088798158,452956562,30551763,,,,,,,,,
2021-12-11,159948865443,452682806,30097751,,,,,,,,,
2021-12-12,160752234036,452934605,30086246,,,,,,,,,
2021-12-13,160943999619,453381196,30118246,,,,,,,,,
2021-12-14,160810604095,453002751,28476415,,,,,,,,,
2021-12-15,161504326692,457100036,27756787,,,,,,,,,
2021-12-16,161832405697,455788089,28406899,,,,,,,,,
2021-12-17,161259006426,458971815,28743899,,,,,,,,,
2021-12-18,162065884058,466940774,28717352,,,,,,,,,
2021-12-19,162560966619,471114905,28706777,,,,,,,,,
2021-12-20,162343413750,474608672,28734187,,,,,,,,,
2021-12-21,163939471909,478843343,28858687,,,,,,,,,
2021-12-22,164075959626,487824266,29120771,,,,,,,,,
2021-12-23,164394933440,505823140,29138383,,,,,,,,,
2021-12-24,164629065352,514982428,29476383,,,,,,,,,
2021-12-25,165449423920,526648268,29663883,,,,,,,,,
2021-12-26,165924714894,527081059,29699883,,,,,,,,,
2021-12-27,166039275702,537224107,30090932,,,,,,,,,
2021-12-28,165710830944,541278155,29868143,,,,,,,,,
2021-12-29,165941089399,546204394,29756880,,,,,,,,,
2021-12-30,165300571511,549094773,29404782,,,,,,,,,
2021-12-31,166082778946,557675643,30425818,,,,,,,,,
2022-01-01,165610346046,558020657,29840609,,,,,,,,,
2022-01-02,166428293227,555916573,32417168,,,,,,,,,
2022-01-03,166280129265,563372292,32632204,,,,,,,,,
2022-01-04,166449152666,570265240,32766983,,,,,,,,,
2022-01-05,166739933085,580367285,33085414,,,,,,,,,
2022-01-06,167171433009,578839993,29453409,,,,,,,,,
2022-01-07,167237466151,579564492,28622212,,,,,,,,,
2022-01-08,166896774807,578639776,28521831,,,,,,,,,
2022-01-09,166946101463,578673436,28288036,,,,,,,,,
2022-01-10,166522995472,581442497,28401744,,,,,,,,,
2022-01-11,167622023307,582655757,27577951,,,,,,,,,
2022-01-12,167987903087,580591453,28130720,,,,,,,,,
2022-01-13,168762084611,573312383,28321748,,,,,,,,,
2022-01-14,169134985081,578241200,28589933,,,,,,,,,
2022-01-15,169362251391,584241602,28610425,,,,,,,,,
2022-01-16,169596613575,589589279,29968422,,,,,,,,,
2022-01-17,169952542672,601647780,29814404,,,,,,,,,
2022-01-18,170192444354,601047095,29770970,,,,,,,,,
2022-01-19,170143177309,602808050,29627461,,,,,,,,,
2022-01-20,170815644535,595384751,30100359,,,,,,,,,
2022-01-21,171320948895,588058885,26843415,,,,,,,,,
2022-01-22,170465435109,568355757,24770151,,,,,,,,,
2022-01-23,172103369316,566165991,24276885,,,,,,,,,
2022-01-24,171766601863,556631852,24047460,,,,,,,,,
2022-01-25,172634403816,552260658,23595998,,,,,,,,,
2022-01-26,172783962448,552114358,23761893,,,,,,,,,
2022-01-27,174006646974,559752245,23765341,,,,,,,,,
2022-01-28,173712786614,598244608,22260924,,,,,,,,,
2022-01-29,172907344917,611375525,21791348,,,,,,,,,
2022-01-30,173405094058,621910694,21852848,,,,,,,,,
2022-01-31,173265988984,623773681,21894034,,,,,,,,,
2022-02-01,173689438331,622464557,21974879,,,,,,,,,
2022-02-02,174283115846,632779885,22484129,,,,,,,,,
2022-02-03,174824653430,635508741,22555828,,,,,,,,,
2022-02-04,175711984932,633521393,22788626,,,,,,,,,
2022-02-05,176309247726,636963334,24546304,,,,,,,,,
2022-02-06,176463648678,637039398,24712783,,,,,,,,,
2022-02-07,176714420137,635751520,24717931,,,,,,,,,
2022-02-08,177093033818,629286894,24787931,,,,,,,,,
2022-02-09,177771523238,631895001,24833673,,,,,,,,,
2022-02-10,178282678560,630888151,25487104,,,,,,,,,
2022-02-11,179157874091,634825662,25882425,,,,,,,,,
2022-02-12,179827622157,632346150,26160678,,,,,,,,,
2022-02-13,179756188593,632408112,26903964,,,,,,,,,
2022-02-14,180085155673,632389953,26780572,,,,,,,,,
2022-02-15,179953905894,628023103,26778063,,,,,,,,,
2022-02-16,180691235655,627028009,27109413,,,,,,,,,
2022-02-17,180673686616,626978603,29341140,,,,,,,,,
